9546321555	452-XLY	2	70.82	503	11	15.58	141.64	 157.22
9546321555	742-6Z3	300	10.14	47	6	182.52	3042.00	 3224.52
5612971340	924-YUT	8	23.00	51	7	12.88	184.00	 196.88
3051234567	9L3-11T	47	50.12	200	8	188.45	2355.64	 2544.09
7542346622	453-TTT	92	25.25	110	7	162.61	2323.00	 2485.61
3054432762	213-ABC	15	105.02	111	8	126.02	1575.30	 1701.32
9544321011	321-XMZ	112	32.41	92	7	254.09	3629.92	 3884.01
8776219988	444-SSS	100	12.12	86	7	84.84	1212.00	 1296.84
9042224556	290-P23	297	9.62	500	9	257.14	2857.14	 3114.28
7877176590	23Z-00Q	32	9.62	201	9	27.71	307.84	 335.55
5617278899	893-42T	642	0.81	72	7	36.40	520.02	 556.42
9546321555	008-LL5	90	45.80	18	6	247.32	4122.00	 4369.32
5612971340	452-XLY	42	99.99	503	11	461.95	4199.58	 4661.53
3051234567	742-6Z3	14	10.14	47	6	8.52	141.96	 150.48
7542346622	742-6Z4	13	66.48	3	6	51.85	864.24	 916.09
3054432762	742-6Z5	209	0.77	2	6	9.66	160.93	 170.59
9544321011	742-6Z6	108	1.17	1	6	7.58	126.36	 133.94
8776219988	213-ABC	67	105.02	111	8	562.91	7036.34	 7599.25
9042224556	321-XMZ	500	32.41	92	7	1134.35	16205.00 17339.35
7877176590	444-SSS	43	12.12	86	7	36.48	521.16	 557.64
5617278899	290-P23	16	9.92	500	9	14.28	158.72	 173.00
8776219988	23Z-00Q	82	9.62	201	9	71.00	788.84	 859.84
9042224556	23Z-00Q	87	9.62	201	9	75.32	836.94	 912.26
7877176590	23Z-00Q	445	9.62	201	9	385.28	4280.90	 4666.18
